127.0.0.1 - - [20/Mar/2023:21:26:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:02 +0530] "GET /project_3/ HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:02 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:02 +0530] "GET /project_3/img/ishika1.jpg HTTP/1.1" 200 803299
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:11 +0530] "GET /project_3/ HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:11 +0530] "GET /project_3/img/ishika1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:11 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:11 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:13 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:13 +0530] "GET /project_3/img/ishika3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:18 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6990
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:18 +0530] "GET /project_3/img/pro3_6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:47 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:47 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9684
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:53 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 17555
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:53 +0530] "GET /project_3/img/teahu.png HTTP/1.1" 200 158425
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:26:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:27:56 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 17780
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:27:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:28:16 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 17749
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:28:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:28:27 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 17919
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:28:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:28:37 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:28:37 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 13763
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:28:37 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:28:37 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:28:55 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 14370
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:28:55 +0530] "GET /project_3/img/pro3_11.jpg HTTP/1.1" 200 12692
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:28:58 +0530] "GET /project_3/ctl/StudentCtl HTTP/1.1" 200 16009
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:28:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:28:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:28:58 +0530] "GET /project_3/img/teahub.png HTTP/1.1" 200 109626
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:29:04 +0530] "GET /project_3/ctl/CollegeCtl HTTP/1.1" 200 13949
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:29:04 +0530] "GET /project_3/img/wback.jpg HTTP/1.1" 200 946405
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:29:43 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 200 14265
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:29:47 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:29:47 +0530] "GET /project_3/ctl/CollegeCtl HTTP/1.1" 200 13949
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:29:47 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:29:47 +0530] "GET /project_3/ctl/CollegeCtl HTTP/1.1" 200 13949
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:29:52 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 12976
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:29:55 +0530] "POST /project_3/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:29:55 +0530] "GET /project_3/ctl/CollegeCtl HTTP/1.1" 200 13949
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:30:19 +0530] "GET /project_3/ctl/StudentCtl HTTP/1.1" 200 16051
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:30:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:30:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:30:27 +0530] "GET /project_3/ctl/FacultyCtl HTTP/1.1" 200 19353
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:30:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:30:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:30:27 +0530] "GET /project_3/img/aq.jpg HTTP/1.1" 200 55029
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:30:29 +0530] "GET /project_3/ctl/StudentCtl HTTP/1.1" 200 16051
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:30:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:30:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:31:17 +0530] "POST /project_3/ctl/StudentCtl HTTP/1.1" 200 16207
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:31:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:31:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:31:26 +0530] "POST /project_3/ctl/StudentCtl HTTP/1.1" 200 16207
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:31:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:31:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:31:27 +0530] "POST /project_3/ctl/StudentCtl HTTP/1.1" 200 16207
0:0:0:0:0:0:0:1 - - [20/Mar/2023:21:31:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
