127.0.0.1 - - [30/Mar/2023:22:41:43 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:41:44 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:41:44 +0530] "GET /project_3/img/ORSPicture.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:41:44 +0530] "GET /project_3/img/pic101.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:42:24 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:42:24 +0530] "GET /project_3/img/ORSPicture.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:42:24 +0530] "GET /project_3/img/pic101.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:42:24 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:42:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:44:09 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3714
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:44:09 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3714
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:44:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:44:09 +0530] "GET /project_3/img/school.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:44:12 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:44:12 +0530] "GET /project_3/img/login103.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:44:15 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:44:34 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:44:34 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:44:34 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9691
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:44:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
