0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:29 +0530] "GET /project_3/img/img33.jpg HTTP/1.1" 200 98726
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:31 +0530] "GET /project_3/ctl/RoleCtl HTTP/1.1" 200 12437
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:31 +0530] "GET /project_3/img/wall.jpg HTTP/1.1" 200 285603
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:33 +0530] "GET /project_3/ctl/RoleListCtl HTTP/1.1" 200 13735
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:34 +0530] "GET /project_3/ctl/CollegeCtl HTTP/1.1" 200 14120
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:34 +0530] "GET /project_3/img/wback.jpg HTTP/1.1" 200 946405
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:35 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 12970
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:37 +0530] "GET /project_3/ctl/CourseCtl HTTP/1.1" 200 12982
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:37 +0530] "GET /project_3/img/bg3.png HTTP/1.1" 200 99939
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:38 +0530] "GET /project_3/ctl/CourseListCtl HTTP/1.1" 200 13038
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:39 +0530] "GET /project_3/ctl/StudentCtl HTTP/1.1" 200 16220
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:39 +0530] "GET /project_3/img/im1.jpg HTTP/1.1" 200 22963
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:40 +0530] "GET /project_3/ctl/StudentListCtl HTTP/1.1" 200 13574
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:42 +0530] "GET /project_3/ctl/FacultyCtl HTTP/1.1" 200 19594
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:42 +0530] "GET /project_3/img/faculty2.jpg HTTP/1.1" 200 637019
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:43 +0530] "GET /project_3/ctl/FacultyListCtl HTTP/1.1" 200 13150
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:43 +0530] "GET /project_3/img/faculty1.jpg HTTP/1.1" 200 230774
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:46 +0530] "GET /project_3/ctl/TimeTableCtl HTTP/1.1" 200 17020
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:46 +0530] "GET /project_3/img/pro3_10.jpg HTTP/1.1" 200 6015
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:47 +0530] "GET /project_3/ctl/TimeTableListCtl HTTP/1.1" 200 14571
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:47 +0530] "GET /project_3/img/timetablelist.jpg HTTP/1.1" 200 59732
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:49 +0530] "GET /project_3/ctl/SubjectCtl HTTP/1.1" 200 13073
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:49 +0530] "GET /project_3/img/1291.jpg HTTP/1.1" 200 149489
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:50 +0530] "GET /project_3/ctl/SubjectListCtl HTTP/1.1" 200 12598
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:50 +0530] "GET /project_3/img/pic108.jpg HTTP/1.1" 200 119347
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:54 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 17824
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:20:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:21:01 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 17824
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:21:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:21:05 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 18070
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:21:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:21:08 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:21:08 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 19415
0:0:0:0:0:0:0:1 - - [07/Apr/2023:20:21:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
