127.0.0.1 - - [01/Apr/2023:17:37:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:25 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:25 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:25 +0530] "GET /project_3/img/ORSPicture.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:25 +0530] "GET /project_3/img/pic101.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:43 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:43 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:43 +0530] "GET /project_3/img/ORSPicture.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:43 +0530] "GET /project_3/img/pic101.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:44 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:46 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3714
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:46 +0530] "GET /project_3/img/school.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:49 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:49 +0530] "GET /project_3/img/login103.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:53 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:56 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:58 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:59 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11972
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:37:59 +0530] "GET /project_3/img/study.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:38:20 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:38:21 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:51:12 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3714
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:51:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:51:17 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:51:22 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [01/Apr/2023:17:51:23 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11972
