127.0.0.1 - - [29/Mar/2023:12:18:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:18:40 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:18:40 +0530] "GET /project_3/img/ORSPicture.png HTTP/1.1" 200 104606
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:18:40 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:18:40 +0530] "GET /project_3/img/pic101.jpg HTTP/1.1" 200 81258
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:18:53 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:18:53 +0530] "GET /project_3/img/ORSPicture.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:18:53 +0530] "GET /project_3/img/pic101.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:18:53 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:18:54 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:18:55 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:18:55 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:18:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:18:55 +0530] "GET /project_3/img/school.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:20:46 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3717
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:20:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:20:46 +0530] "GET /project_3/img/register.jpg HTTP/1.1" 200 28316
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:21:07 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3719
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:21:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:21:29 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:21:34 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3719
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:21:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:21:54 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:21:54 +0530] "GET /project_3/img/login103.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:22:03 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:22:18 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:22:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:22:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:22:18 +0530] "GET /project_3/img/study.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:22:24 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:22:34 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:22:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:22:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:22:49 +0530] "GET /project_3/ HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:22:50 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3719
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:22:50 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3719
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:22:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:22:55 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:23:01 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:23:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:23:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:23:07 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:23:13 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:23:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:23:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:23:37 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:23:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:23:39 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:23:39 +0530] "GET /project_3/img/study.jpg HTTP/1.1" 200 326081
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:23:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:23:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:24:14 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:24:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:24:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:25:34 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:25:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:25:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:26:18 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:26:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:26:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:26:42 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:26:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
